id,easting,northing,lat,lon,ws10,ws25,ws45
374,222500,89500,50.67283146,-4.519437526,5.4,6.1,6.7
375,223500,89500,50.67313642,-4.505297849,5.1,5.9,6.5
376,224500,89500,50.67343967,-4.491157929,4.5,5.4,6
377,225500,89500,50.67374121,-4.477017766,4.6,5.4,6
378,226500,89500,50.67404103,-4.462877361,5.1,5.8,6.4
379,227500,89500,50.67433914,-4.448736716,5.1,5.9,6.4
380,228500,89500,50.67463553,-4.434595832,5,5.7,6.3
381,229500,89500,50.67493021,-4.420454711,5.2,5.9,6.5
382,230500,89500,50.67522317,-4.406313354,5.4,6.1,6.6
383,231500,89500,50.67551442,-4.392171763,5.1,5.9,6.4
384,232500,89500,50.67580396,-4.378029938,4.9,5.7,6.2
385,233500,89500,50.67609178,-4.363887881,4.8,5.6,6.1
386,204500,88500,50.65806586,-4.77337879,5.5,6.1,6.7
387,205500,88500,50.65840156,-4.759246434,6,6.7,7.2
388,206500,88500,50.65873554,-4.745113809,5.9,6.7,7.2
389,207500,88500,50.65906781,-4.730980917,5.8,6.6,7.3
390,208500,88500,50.65939837,-4.716847759,6.2,7.1,7.8
391,209500,88500,50.65972722,-4.702714336,7.2,7.9,8.4
392,210500,88500,50.66005435,-4.68858065,7.5,8.1,8.5
393,211500,88500,50.66037977,-4.674446702,7.3,7.9,8.3
394,212500,88500,50.66070348,-4.660312494,6.9,7.6,8.1
395,213500,88500,50.66102548,-4.646178027,7,7.7,8.2
396,214500,88500,50.66134577,-4.632043302,7.3,8,8.4
397,215500,88500,50.66166434,-4.617908321,7.1,7.7,8.2
398,216500,88500,50.6619812,-4.603773084,6.6,7.3,7.8
399,217500,88500,50.66229634,-4.589637594,6.5,7.2,7.8
400,218500,88500,50.66260977,-4.575501852,6.8,7.4,7.9
401,219500,88500,50.66292149,-4.561365859,6,6.8,7.4
402,220500,88500,50.6632315,-4.547229616,5.2,6.1,6.8
403,221500,88500,50.66353979,-4.533093126,5.2,6,6.7
404,222500,88500,50.66384637,-4.518956388,5.7,6.4,6.9
405,223500,88500,50.66415124,-4.504819405,5.4,6.1,6.7
406,224500,88500,50.66445439,-4.490682178,4.7,5.6,6.2
407,225500,88500,50.66475583,-4.476544708,4.6,5.5,6.1
408,226500,88500,50.66505556,-4.462406997,4.9,5.7,6.3
409,227500,88500,50.66535357,-4.448269046,4.6,5.5,6.1
410,228500,88500,50.66564987,-4.434130857,4.5,5.4,6
411,229500,88500,50.66594445,-4.41999243,4.7,5.5,6.1
412,230500,88500,50.66623732,-4.405853768,5,5.8,6.3
413,231500,88500,50.66652848,-4.391714871,5.1,5.8,6.3
414,232500,88500,50.66681793,-4.377575741,4.8,5.6,6.2
415,233500,88500,50.66710565,-4.363436379,4.6,5.4,6
416,204500,87500,50.64908259,-4.77284947,4.6,5.5,6.2
417,205500,87500,50.64941818,-4.758719803,5.5,6.3,6.8
418,206500,87500,50.64975206,-4.744589867,5.9,6.7,7.3
419,207500,87500,50.65008423,-4.730459665,6.9,7.6,8.1
420,208500,87500,50.65041468,-4.716329196,7.8,8.4,8.7
421,209500,87500,50.65074342,-4.702198463,7.9,8.5,8.9
422,210500,87500,50.65107045,-4.688067467,7,7.7,8.2
423,211500,87500,50.65139577,-4.673936209,6.4,7.2,7.8
424,212500,87500,50.65171938,-4.659804691,6.6,7.4,7.9
425,213500,87500,50.65204127,-4.645672914,7.3,8,8.4
426,214500,87500,50.65236146,-4.63154088,7.2,7.9,8.3
427,215500,87500,50.65267993,-4.617408589,6.3,7.1,7.8
428,216500,87500,50.65299668,-4.603276043,6.1,6.9,7.5
